Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.7760339,228.73333333333332,-0.19037555,-6.73148854970932,-6.73148854970932,1.1910741,0.06511697,0.00029909966,0.19969988,0.0049850238,1.0
20000,1.743939,209.05357142857142,-0.42084265,0.05077403012130942,0.05077403012130942,2.0109491,0.06724353,0.00029769013,0.19923003,0.004961579,1.0
30000,1.708735,116.54651162790698,0.39042702,6.478496230272359,6.478496230272359,4.4979258,0.07240631,0.00029623284,0.19874428,0.0049373396,1.0
40000,1.6068778,100.69607843137256,1.407259,8.196938616268843,8.196938616268843,4.426527,0.06661406,0.0002946683,0.19822277,0.0049113156,1.0
50000,1.455775,67.51724137931035,2.590931,8.657876819065988,8.657876819065988,5.334548,0.07117319,0.00029325578,0.19775192,0.0048878207,1.0
60000,1.3026644,61.96969696969697,3.8785558,8.78525616155892,8.78525616155892,4.7969856,0.06306414,0.0002918658,0.19728859,0.0048647,1.0
70000,1.2124672,57.30635838150289,4.8151736,9.254559489245388,9.254559489245388,3.1941757,0.06592305,0.00029031755,0.19677253,0.0048389486,1.0
80000,1.1029122,52.779661016949156,5.610548,9.305576934238498,9.305576934238498,2.5582404,0.068962455,0.00028875493,0.19625165,0.004812957,1.0
90000,0.9660118,56.0,6.130522,8.632392976412902,8.632392976412902,3.0755064,0.07167624,0.00028719095,0.19573031,0.004786942,1.0
100000,0.93528104,47.390243902439025,6.6416607,9.520016281856496,9.520016281856496,2.201301,0.07370357,0.00028563646,0.19521216,0.004761086,1.0
110000,0.84776616,42.41517857142857,7.098845,9.547498628101518,9.547498628101518,1.851275,0.066429846,0.00028424733,0.1947491,0.0047379807,1.0
120000,0.7807888,41.540084388185655,7.514494,9.302562745500214,9.302562745500214,1.942372,0.07384507,0.00028284866,0.19428287,0.0047147153,1.0
130000,0.78506,47.24766355140187,7.384616,9.452875493842864,9.452875493842864,1.3891302,0.06854411,0.00028129335,0.19376446,0.004688846,1.0
140000,0.7334545,43.74311926605505,7.4833198,9.569616532489045,9.569616532489045,1.119673,0.06696626,0.00027974453,0.19324817,0.0046630837,1.0
150000,0.7012168,40.004273504273506,7.717758,9.762210927457891,9.762210927457891,0.85092086,0.07342448,0.00027818626,0.19272873,0.004637164,1.0
160000,0.7491318,46.870370370370374,7.5954084,9.192196674335937,9.192196674335937,1.6309464,0.065863065,0.00027663464,0.19221155,0.0046113557,1.0
170000,0.64181346,40.48290598290598,7.7202168,9.777949017159482,9.777949017159482,0.7446074,0.07454799,0.00027523498,0.19174498,0.004588075,1.0
180000,0.5475459,38.06896551724138,7.845628,9.801831506049952,9.801831506049952,0.7314072,0.07017411,0.0002738388,0.19127959,0.0045648515,1.0
190000,0.5285835,40.90869565217391,7.7587447,9.689321890473366,9.689321890473366,0.9358557,0.060516663,0.0002722897,0.19076322,0.0045390846,1.0
200000,0.50368595,44.39473684210526,7.70787,9.531179147581346,9.531179147581346,1.0916433,0.066406615,0.00027073247,0.19024414,0.004513182,1.0
210000,0.51720214,44.96396396396396,7.665737,9.622828890007359,9.622828890007359,0.90308,0.06958441,0.00026917233,0.18972412,0.0044872323,1.0
220000,0.4747448,36.470588235294116,7.8459463,9.755009225361487,9.755009225361487,0.77316606,0.07599137,0.00026777605,0.1892587,0.004464008,1.0
230000,0.47351113,42.09583333333333,7.8838887,9.67862780832996,9.67862780832996,0.67623883,0.06663257,0.00026638067,0.18879355,0.0044407975,1.0
240000,0.4349489,39.2,7.9294453,9.569219140860499,9.569219140860499,1.1359528,0.06867317,0.00026483202,0.18827735,0.004415039,1.0
250000,0.39638016,38.1003861003861,8.042831,9.566041287825835,9.566041287825835,1.6160829,0.07118709,0.00026327692,0.18775898,0.0043891724,1.0
260000,0.44864258,42.27272727272727,7.8947763,9.710101047313058,9.710101047313058,0.91080314,0.06649354,0.00026172685,0.18724228,0.0043633897,1.0
270000,0.47919288,38.75431034482759,7.7835655,9.581593791942229,9.581593791942229,1.1691822,0.06701325,0.0002601727,0.18672422,0.004337539,1.0
280000,0.475442,47.14222222222222,7.682041,9.214154161612193,9.214154161612193,1.1658928,0.06618639,0.00025877287,0.18625763,0.0043142554,1.0
290000,0.48984873,38.94214876033058,7.7552977,9.537518011944845,9.537518011944845,0.93353236,0.073034465,0.0002573785,0.18579283,0.0042910622,1.0
300000,0.5017847,45.07692307692308,7.7019978,9.312231325150073,9.312231325150073,1.5259281,0.0672292,0.00025581344,0.18527114,0.00426503,1.0
310000,0.4773548,42.71551724137931,7.700778,9.602472222542046,9.602472222542046,0.83894575,0.066106215,0.00025425045,0.18475014,0.0042390316,1.0
320000,0.4828124,38.81974248927039,7.7636414,9.59266962958821,9.59266962958821,1.0192239,0.06611363,0.00025268664,0.18422887,0.0042130207,1.0
330000,0.42747915,42.00416666666667,7.6368937,9.46621678477774,9.46621678477774,0.8806079,0.07292048,0.00025112898,0.18370965,0.0041871113,1.0
340000,0.42341945,42.08370044052864,7.7047334,9.59301169184239,9.59301169184239,1.0667385,0.062955424,0.00024972897,0.18324298,0.004163825,1.0
350000,0.42717227,48.4,7.5518346,9.368520397238616,9.368520397238616,0.86308175,0.06529914,0.00024832977,0.18277659,0.004140551,1.0
360000,0.34797296,38.33584905660377,7.8442063,9.742644182721476,9.742644182721476,0.77586293,0.06668274,0.00024677356,0.18225785,0.004114666,1.0
370000,0.34152898,36.04214559386973,7.922526,9.724574806589732,9.724574806589732,1.0737041,0.06531024,0.00024521782,0.18173926,0.0040887888,1.0
380000,0.31079596,33.872727272727275,8.146652,9.838304412267778,9.838304412267778,0.4866778,0.06465094,0.00024366025,0.18122008,0.004062881,1.0
390000,0.34386858,40.67588932806324,8.030082,9.528862508575594,9.528862508575594,1.3805735,0.073579274,0.00024226625,0.18075539,0.0040396946,1.0
400000,0.37088093,38.44921875,7.965577,9.633736538217049,9.633736538217049,1.2229841,0.068528354,0.0002408571,0.1802857,0.004016256,1.0
410000,0.37721607,38.1869918699187,7.9128647,9.576865419927909,9.576865419927909,1.0468175,0.06609445,0.00023929767,0.17976588,0.003990317,1.0
420000,0.38944286,39.6328125,7.8022223,9.67523223335641,9.67523223335641,0.73436946,0.07003613,0.00023774387,0.17924795,0.0039644716,1.0
430000,0.35062692,36.24230769230769,7.9992423,9.519784704595804,9.519784704595804,1.4837465,0.067987196,0.00023618902,0.17872967,0.00393861,1.0
440000,0.31819788,36.06007067137809,8.112129,9.616721498274378,9.616721498274378,0.99012125,0.06961592,0.00023464001,0.17821333,0.003912845,1.0
450000,0.33758444,37.08914728682171,8.065813,9.569801624835902,9.569801624835902,1.3203151,0.06805819,0.00023324539,0.17774846,0.0038896478,1.0
460000,0.33517915,36.88167938931298,8.113654,9.772505829046512,9.772505829046512,1.1038506,0.0631301,0.0002318451,0.17728171,0.0038663559,1.0
470000,0.30683288,37.63076923076923,8.024148,9.607430458982329,9.607430458982329,0.80923,0.07450619,0.00023029507,0.176765,0.0038405738,1.0
480000,0.27553856,37.191570881226056,7.967005,9.717389399427494,9.717389399427494,0.92235816,0.06831409,0.00022874512,0.17624834,0.003814793,1.0
490000,0.2586999,35.49442379182156,8.031234,9.879821668770234,9.879821668770234,0.5199281,0.06707463,0.00022718302,0.17572767,0.0037888098,1.0
500000,0.2408275,36.56521739130435,8.157994,9.663624031912713,9.663624031912713,0.8651943,0.068608694,0.00022562582,0.1752086,0.0037629087,1.0
510000,0.25085533,34.8544776119403,8.138591,9.643078519360108,9.643078519360108,1.194183,0.07125834,0.00022423377,0.17474456,0.0037397542,1.0
520000,0.30046132,36.69172932330827,8.113851,9.672095627379868,9.672095627379868,0.5726704,0.07232557,0.00022283557,0.17427853,0.0037164974,1.0
530000,0.28821588,37.65748031496063,7.9496074,9.70765756397855,9.70765756397855,1.0208654,0.06820948,0.00022128464,0.17376153,0.0036907003,1.0
540000,0.26859626,37.31782945736434,7.9352674,9.633439339639605,9.633439339639605,0.90616226,0.062230676,0.00021973795,0.17324598,0.0036649737,1.0
550000,0.2558602,37.75686274509804,8.038495,9.773696814156047,9.773696814156047,0.805184,0.06878553,0.00021817903,0.17272633,0.003639043,1.0
