Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
20000,1.0602051,-0.23731896,42.76805251641138,-8.604210459945822,-8.604210459945822,3.9660106,0.06589176,0.0002938494,0.1979498,0.004897695,1.0
40000,0.74771035,-0.19387886,107.58695652173913,-1.2242880912850032,-1.2242880912850032,1.1737484,0.067572996,0.00028215768,0.19405256,0.0047032223,1.0
60000,0.49411845,0.1888588,132.0,3.7999510896460924,3.7999510896460924,0.45641884,0.07125459,0.00026984804,0.18994933,0.0044984715,1.0
80000,0.4712485,0.480941,142.22695035460993,8.119934080247866,8.119934080247866,0.27711505,0.06489132,0.00025754148,0.18584716,0.0042937733,1.0
100000,0.46387714,0.5695628,151.6030534351145,9.905130052356093,9.905130052356093,0.19942738,0.06727704,0.00024585056,0.18195017,0.0040993136,1.0
120000,0.43617785,0.40075347,132.9527027027027,6.257743524525918,6.257743524525918,0.34604484,0.0695074,0.0002341558,0.17805193,0.0039047909,1.0
140000,0.38102204,0.3435206,131.36184210526315,5.047241509463148,5.047241509463148,0.26272833,0.070149735,0.00022184988,0.17394997,0.0037001022,1.0
160000,0.36188138,0.35722578,128.32258064516128,4.564236809781963,4.564236809781963,0.19453603,0.06432059,0.00020954586,0.16984859,0.003495445,1.0
180000,0.35818043,0.32967386,135.06802721088437,6.092168097568004,6.092168097568004,0.13272895,0.069809884,0.00019785554,0.1659518,0.0033009958,1.0
200000,0.39659092,0.50832266,141.57142857142858,7.383457419435893,7.383457419435893,0.14715901,0.06841411,0.00018615882,0.16205291,0.0031064409,1.0
220000,0.36491236,0.7501455,145.9485294117647,9.908691535854492,9.908691535854492,0.11593616,0.06586039,0.00017385215,0.15795071,0.00290174,1.0
240000,0.35602644,0.6432645,149.01492537313433,9.12491762738927,9.12491762738927,0.11921998,0.06592075,0.00016154928,0.15384975,0.0026971018,1.0
260000,0.38992742,0.6781077,150.93129770992365,10.177475054042809,10.177475054042809,0.107761815,0.07083555,0.0001498542,0.14995138,0.002502574,1.0
280000,0.40164968,0.55285966,145.5441176470588,8.468995409962886,8.468995409962886,0.117879644,0.06881486,0.00013816368,0.14605455,0.0023081214,1.0
300000,0.376627,0.593425,142.2608695652174,8.646125046817733,8.646125046817733,0.12098149,0.068427674,0.00012585583,0.14195193,0.0021034009,1.0
320000,0.3672985,0.73376673,153.31297709923663,10.479537241985552,10.479537241985552,0.08312689,0.06592101,0.00011355182,0.13785057,0.0018987439,1.0
340000,0.39160383,0.7254669,147.44776119402985,10.267925705983123,10.267925705983123,0.12106506,0.06623926,0.00010186348,0.13395447,0.0017043278,1.0
360000,0.4011319,0.7526511,159.6290322580645,11.61117776501323,11.61117776501323,0.08870773,0.067095086,9.017336e-05,0.13005775,0.001509882,1.0
380000,0.39392585,0.7509332,161.2258064516129,10.96072612132036,10.96072612132036,0.13060902,0.06459461,7.7866105e-05,0.12595536,0.0013051714,1.0
400000,0.37324256,0.69408685,149.82706766917292,9.528862470256767,9.528862470256767,0.11877374,0.06994611,6.556268e-05,0.1218542,0.0011005246,1.0
420000,0.3468395,0.6324926,144.4087591240876,8.334472340348102,8.334472340348102,0.12258385,0.06564502,5.3874348e-05,0.1179581,0.0009061086,1.0
440000,0.30484068,0.61864966,138.51388888888889,8.091921559638447,8.091921559638447,0.11014215,0.07068318,4.2184645e-05,0.11406152,0.0007116698,1.0
460000,0.29246897,0.6640495,137.91608391608392,8.517599410383955,8.517599410383955,0.088220716,0.07488606,2.9877629e-05,0.109959185,0.00050696306,1.0
480000,0.25601497,0.70976824,138.2551724137931,9.189981755981636,9.189981755981636,0.08201592,0.06797384,1.7569717e-05,0.10585654,0.00030224136,1.0
500000,0.25499043,0.72795194,141.67625899280574,9.826043134289128,9.826043134289128,0.07922371,0.06979299,5.8753662e-06,0.101958424,0.000107725275,1.0
