Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2010000,0.5704389,15.243848,9.560905,0.07506326,9.949589e-05,0.13316527,0.0016649467,315.0833333333333,64.23107581647734,64.23107581647734,1.0
2020000,0.5399618,15.604423,9.444774,0.06935953,9.8486526e-05,0.1328288,0.0016481576,349.3333333333333,72.53215877187473,72.53215877187473,1.0
2030000,0.532631,16.069992,9.18576,0.060785577,9.747024e-05,0.13249005,0.001631254,329.4,69.39107551835477,69.39107551835477,1.0
2040000,0.5602856,16.262697,13.271863,0.06488468,9.6500335e-05,0.13216674,0.0016151208,291.65714285714284,59.5692227038954,59.5692227038954,1.0
2050000,0.55383116,16.51644,14.798578,0.065899506,9.545176e-05,0.13181724,0.0015976796,268.57142857142856,48.92699439248869,48.92699439248869,1.0
2060000,0.5360987,16.6722,12.1389475,0.073993415,9.451428e-05,0.13150474,0.0015820861,327.1290322580645,67.79360590899184,67.79360590899184,1.0
2070000,0.5207463,16.949394,10.597007,0.0728149,9.357692e-05,0.13119228,0.0015664948,322.21875,66.41171198734082,66.41171198734082,1.0
2080000,0.5310459,17.376137,10.306094,0.067425,9.2538285e-05,0.13084607,0.0015492185,337.48387096774195,73.2837986053238,73.2837986053238,1.0
2090000,0.5118688,17.925697,11.593607,0.06406605,9.1490205e-05,0.13049671,0.0015317856,331.7307692307692,71.6692801754062,71.6692801754062,1.0
2100000,0.51452833,18.225794,6.933235,0.069872074,9.044102e-05,0.13014698,0.0015143342,389.51851851851853,87.0432878513303,87.0432878513303,1.0
2110000,0.5204616,18.37051,13.346119,0.063790575,8.950021e-05,0.12983337,0.0014986853,316.58620689655174,66.63816543540051,66.63816543540051,1.0
2120000,0.52975863,18.565184,9.163249,0.07292915,8.856313e-05,0.129521,0.0014830984,361.0344827586207,74.20651069230267,74.20651069230267,1.0
2130000,0.52841735,18.685665,8.720645,0.06440139,8.7521985e-05,0.12917396,0.0014657809,342.741935483871,70.48100866633467,70.48100866633467,1.0
2140000,0.5293596,18.659504,12.604007,0.06349523,8.647122e-05,0.12882373,0.0014483032,324.3333333333333,68.27119304947556,68.27119304947556,1.0
2150000,0.52574825,18.935053,11.388084,0.058255687,8.552231e-05,0.1285074,0.0014325196,314.53333333333336,67.24554311558605,67.24554311558605,1.0
2160000,0.51569843,18.937975,12.992312,0.06507845,8.457978e-05,0.12819323,0.0014168422,314.3636363636364,64.00044806628968,64.00044806628968,1.0
2170000,0.5199948,19.108536,13.619733,0.0700127,8.353843e-05,0.12784609,0.001399521,325.625,69.54393062437885,69.54393062437885,1.0
2180000,0.5128409,19.288355,11.4999275,0.075081915,8.2495804e-05,0.12749857,0.0013821789,352.7037037037037,82.67249135852411,82.67249135852411,1.0
2190000,0.51692927,19.600655,9.439594,0.067010164,8.145551e-05,0.12715182,0.001364875,364.6,82.02725171297789,82.02725171297789,1.0
2200000,0.52392215,19.676882,13.471202,0.07122634,8.041664e-05,0.12680551,0.0013475954,324.7142857142857,67.82494886350982,67.82494886350982,1.0
2210000,0.5219347,19.77821,15.071992,0.06978259,7.9481186e-05,0.12649369,0.0013320355,298.3939393939394,65.64252191015026,65.64252191015026,1.0
2220000,0.5224502,19.505373,13.679975,0.06686545,7.854096e-05,0.12618029,0.0013163965,333.18518518518516,65.72117788082471,65.72117788082471,1.0
2230000,0.5146862,19.703072,11.477697,0.069216564,7.749936e-05,0.12583308,0.0012990714,336.46875,69.2510708764894,69.2510708764894,1.0
2240000,0.5232586,19.64074,14.481649,0.065984495,7.6458804e-05,0.12548624,0.0012817633,322.96774193548384,68.2075733334547,68.2075733334547,1.0
2250000,0.5116203,19.811445,9.124091,0.06309474,7.551486e-05,0.1251716,0.0012660624,360.32142857142856,79.08008106425405,79.08008106425405,1.0
2260000,0.52407,19.929548,8.869169,0.06773255,7.457309e-05,0.12485768,0.0012503975,345.41379310344826,76.27316502777153,76.27316502777153,1.0
2270000,0.5192418,19.960058,10.822858,0.06844698,7.352663e-05,0.12450886,0.0012329915,312.83870967741933,67.07155857607722,67.07155857607722,1.0
2280000,0.5314003,19.967701,14.055046,0.06692926,7.248022e-05,0.12416005,0.0012155862,301.53125,66.72944648563862,66.72944648563862,1.0
2290000,0.54152244,20.10281,13.873764,0.067122266,7.1442664e-05,0.1238142,0.0011983282,316.9428571428571,65.63494939165456,65.63494939165456,1.0
2300000,0.5319064,20.292402,13.308069,0.062567145,7.050919e-05,0.12350304,0.0011828013,306.37931034482756,60.65186832978257,60.65186832978257,1.0
2310000,0.5433949,20.28802,11.48142,0.06704432,6.9565045e-05,0.12318833,0.0011670971,333.03225806451616,75.64106757825974,75.64106757825974,1.0
2320000,0.53854686,20.275965,13.347552,0.0631137,6.85143e-05,0.122838065,0.0011496197,335.2142857142857,69.05358153714666,69.05358153714666,1.0
2330000,0.51548636,20.514986,10.623718,0.064248405,6.745904e-05,0.12248633,0.0011320672,338.0689655172414,68.96242087680314,68.96242087680314,1.0
2340000,0.53776014,20.507723,12.029122,0.064822406,6.650681e-05,0.12216891,0.0011162285,334.6666666666667,74.54405672595867,74.54405672595867,1.0
2350000,0.5206336,20.500845,8.759638,0.063766725,6.5560045e-05,0.12185333,0.0011004807,343.7741935483871,70.26833061946016,70.26833061946016,1.0
2360000,0.5344809,20.487137,11.252287,0.060503196,6.4513006e-05,0.12150431,0.0010830648,329.4642857142857,70.85361825714686,70.85361825714686,1.0
2370000,0.5271266,20.542387,12.227073,0.06927643,6.346157e-05,0.12115383,0.0010655759,343.4193548387097,73.28533146999055,73.28533146999055,1.0
2380000,0.5237253,20.671486,12.690876,0.06946408,6.24238e-05,0.12080791,0.0010483146,314.82142857142856,67.46014177385304,67.46014177385304,1.0
2390000,0.5172278,20.74514,10.528517,0.06876719,6.148689e-05,0.1204956,0.0010327302,358.43333333333334,77.0186857313158,77.0186857313158,1.0
2400000,0.52118903,20.865334,6.2018113,0.06546053,6.0540006e-05,0.12017997,0.0010169805,381.84,81.70391194060444,81.70391194060444,1.0
2410000,0.5296755,20.995825,13.682622,0.06646784,5.949047e-05,0.11983012,0.0009995232,329.03125,70.64460155647248,70.64460155647248,1.0
